Description du problème,Label
L'application 20 affiche un message d'erreur au lancement.,Logiciel
Bandwidth is saturated on the link 6 since this morning.,Network
Une faille de sécurité a été détectée dans le système 25.,Sécurité
The security certificate for the website 29 has expired.,Security
Le switch réseau 16 a redémarré plusieurs fois de manière inattendue.,Réseau
La mémoire RAM dans le serveur 72 semble corrompue.,Matériel
Mise à jour critique pour le logiciel 18 non appliquée.,Logiciel
The database management system 71 has been down for a few hours.,Software
Le certificat de sécurité du site web 45 est expiré.,Sécurité
Le système de refroidissement de 74 est défectueux.,Matériel
A security flaw was detected in the system 26.,Security
L'application 7 affiche un message d'erreur au lancement.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 47.,Sécurité
The RAM in server 25 appears to be corrupted.,Hardware
Le certificat de sécurité du site web 90 est expiré.,Sécurité
Le certificat de sécurité du site web 58 est expiré.,Sécurité
The indexing process failed in the application 99.,Software
Le serveur 9 ne répond plus à cause d'une surcharge.,Réseau
The network switch 63 has restarted several times unexpectedly.,Network
Mise à jour critique pour le logiciel 86 non appliquée.,Logiciel
The indexing process failed in the application 78.,Software
The application 45 displays an error message at launch.,Software
La mémoire RAM dans le serveur 21 semble corrompue.,Matériel
La mémoire RAM dans le serveur 74 semble corrompue.,Matériel
Le processus d'indexation a échoué dans l'application 76.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 24.,Sécurité
The server 94 is showing hard drive errors.,Hardware
Une faille de sécurité a été détectée dans le système 12.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 13.,Sécurité
The RAM in server 18 appears to be corrupted.,Hardware
Critical update for the software 78 has not been applied.,Software
Une faille de sécurité a été détectée dans le système 61.,Sécurité
Critical update for the software 86 has not been applied.,Software
Une faille de sécurité a été détectée dans le système 39.,Sécurité
A security flaw was detected in the system 57.,Security
Bandwidth is saturated on the link 31 since this morning.,Network
The database management system 61 has been down for a few hours.,Software
Une faille de sécurité a été détectée dans le système 53.,Sécurité
The security certificate for the website 60 has expired.,Security
Le processus d'indexation a échoué dans l'application 24.,Logiciel
Le processus d'indexation a échoué dans l'application 14.,Logiciel
Le certificat de sécurité du site web 32 est expiré.,Sécurité
Le certificat de sécurité du site web 43 est expiré.,Sécurité
The application 9 displays an error message at launch.,Software
The server 30 is showing hard drive errors.,Hardware
Le serveur 22 présente des erreurs de disque dur.,Matériel
Le processus d'indexation a échoué dans l'application 4.,Logiciel
Une faille de sécurité a été détectée dans le système 6.,Sécurité
The application 56 displays an error message at launch.,Software
A security flaw was detected in the system 16.,Security
Le certificat de sécurité du site web 58 est expiré.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 10.,Sécurité
Le système de refroidissement de 74 est défectueux.,Matériel
Le système de gestion de base de données 47 est en panne depuis quelques heures.,Logiciel
The server 3 is showing hard drive errors.,Hardware
The security certificate for the website 3 has expired.,Security
Le serveur 75 ne répond plus à cause d'une surcharge.,Réseau
Suspicious activity suspected on user account 27.,Security
The server 73 is no longer responding due to overload.,Network
Le processus d'indexation a échoué dans l'application 7.,Logiciel
The indexing process failed in the application 96.,Software
Le switch réseau 70 a redémarré plusieurs fois de manière inattendue.,Réseau
The network switch 55 has restarted several times unexpectedly.,Network
The network switch 20 has restarted several times unexpectedly.,Network
Le processus d'indexation a échoué dans l'application 57.,Logiciel
La connexion VPN avec le site 18 est interrompue fréquemment.,Réseau
The graphics card in workstation 93 overheats during use.,Hardware
The network switch 59 has restarted several times unexpectedly.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 76.,Sécurité
Le certificat de sécurité du site web 2 est expiré.,Sécurité
The indexing process failed in the application 31.,Software
Le certificat de sécurité du site web 50 est expiré.,Sécurité
Critical update for the software 53 has not been applied.,Software
The indexing process failed in the application 26.,Software
The database management system 83 has been down for a few hours.,Software
L'application 92 affiche un message d'erreur au lancement.,Logiciel
A security flaw was detected in the system 7.,Security
The network switch 58 has restarted several times unexpectedly.,Network
La connexion VPN avec le site 81 est interrompue fréquemment.,Réseau
Le système de gestion de base de données 44 est en panne depuis quelques heures.,Logiciel
Bandwidth is saturated on the link 31 since this morning.,Network
La mémoire RAM dans le serveur 40 semble corrompue.,Matériel
Le système de gestion de base de données 44 est en panne depuis quelques heures.,Logiciel
The security certificate for the website 39 has expired.,Security
The application 8 displays an error message at launch.,Software
The network switch 62 has restarted several times unexpectedly.,Network
Le processus d'indexation a échoué dans l'application 70.,Logiciel
The application 56 displays an error message at launch.,Software
The server 22 is no longer responding due to overload.,Network
Mise à jour critique pour le logiciel 5 non appliquée.,Logiciel
VPN connection with site 90 is frequently interrupted.,Network
Le système de gestion de base de données 25 est en panne depuis quelques heures.,Logiciel
La connexion VPN avec le site 1 est interrompue fréquemment.,Réseau
Le processus d'indexation a échoué dans l'application 51.,Logiciel
Le système de refroidissement de 12 est défectueux.,Matériel
The RAM in server 58 appears to be corrupted.,Hardware
The graphics card in workstation 94 overheats during use.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 2.,Sécurité
L'application 8 affiche un message d'erreur au lancement.,Logiciel
Suspicious activity suspected on user account 61.,Security
The database management system 27 has been down for a few hours.,Software
The indexing process failed in the application 24.,Software
La bande passante est saturée sur le lien 44 depuis ce matin.,Réseau
The cooling system of 11 is defective.,Hardware
The database management system 33 has been down for a few hours.,Software
The database management system 39 has been down for a few hours.,Software
A security flaw was detected in the system 56.,Security
Attempted network intrusion detected by surveillance system 40.,Security
Le serveur 72 présente des erreurs de disque dur.,Matériel
Le système de refroidissement de 3 est défectueux.,Matériel
Une activité anormale suspectée sur le compte utilisateur 7.,Sécurité
The indexing process failed in the application 63.,Software
A security flaw was detected in the system 48.,Security
La carte graphique du poste 18 surchauffe lors de l'utilisation.,Matériel
La connexion VPN avec le site 63 est interrompue fréquemment.,Réseau
The graphics card in workstation 82 overheats during use.,Hardware
Le serveur 78 présente des erreurs de disque dur.,Matériel
Suspicious activity suspected on user account 36.,Security
Une activité anormale suspectée sur le compte utilisateur 10.,Sécurité
The application 98 displays an error message at launch.,Software
A security flaw was detected in the system 56.,Security
The network switch 40 has restarted several times unexpectedly.,Network
La mémoire RAM dans le serveur 3 semble corrompue.,Matériel
The server 71 is showing hard drive errors.,Hardware
Bandwidth is saturated on the link 93 since this morning.,Network
Mise à jour critique pour le logiciel 39 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 18.,Sécurité
Bandwidth is saturated on the link 95 since this morning.,Network
La mémoire RAM dans le serveur 79 semble corrompue.,Matériel
Le système de gestion de base de données 95 est en panne depuis quelques heures.,Logiciel
The server 26 is no longer responding due to overload.,Network
Bandwidth is saturated on the link 49 since this morning.,Network
La bande passante est saturée sur le lien 22 depuis ce matin.,Réseau
The cooling system of 37 is defective.,Hardware
VPN connection with site 57 is frequently interrupted.,Network
Critical update for the software 26 has not been applied.,Software
The RAM in server 20 appears to be corrupted.,Hardware
La mémoire RAM dans le serveur 49 semble corrompue.,Matériel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 87.,Sécurité
Une faille de sécurité a été détectée dans le système 51.,Sécurité
Bandwidth is saturated on the link 2 since this morning.,Network
Le serveur 36 présente des erreurs de disque dur.,Matériel
La connexion VPN avec le site 45 est interrompue fréquemment.,Réseau
Attempted network intrusion detected by surveillance system 2.,Security
Le certificat de sécurité du site web 34 est expiré.,Sécurité
L'application 19 affiche un message d'erreur au lancement.,Logiciel
La carte graphique du poste 37 surchauffe lors de l'utilisation.,Matériel
The application 17 displays an error message at launch.,Software
The server 24 is no longer responding due to overload.,Network
La bande passante est saturée sur le lien 19 depuis ce matin.,Réseau
L'application 32 affiche un message d'erreur au lancement.,Logiciel
La connexion VPN avec le site 36 est interrompue fréquemment.,Réseau
The server 53 is no longer responding due to overload.,Network
Le serveur 66 ne répond plus à cause d'une surcharge.,Réseau
La carte graphique du poste 22 surchauffe lors de l'utilisation.,Matériel
The cooling system of 29 is defective.,Hardware
VPN connection with site 65 is frequently interrupted.,Network
L'application 27 affiche un message d'erreur au lancement.,Logiciel
Mise à jour critique pour le logiciel 39 non appliquée.,Logiciel
La carte graphique du poste 11 surchauffe lors de l'utilisation.,Matériel
La carte graphique du poste 2 surchauffe lors de l'utilisation.,Matériel
Suspicious activity suspected on user account 40.,Security
Mise à jour critique pour le logiciel 1 non appliquée.,Logiciel
Une activité anormale suspectée sur le compte utilisateur 98.,Sécurité
The cooling system of 32 is defective.,Hardware
A security flaw was detected in the system 90.,Security
Mise à jour critique pour le logiciel 1 non appliquée.,Logiciel
Bandwidth is saturated on the link 9 since this morning.,Network
Le système de refroidissement de 22 est défectueux.,Matériel
Une activité anormale suspectée sur le compte utilisateur 35.,Sécurité
The server 49 is no longer responding due to overload.,Network
Le serveur 16 ne répond plus à cause d'une surcharge.,Réseau
Mise à jour critique pour le logiciel 22 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 86.,Sécurité
Attempted network intrusion detected by surveillance system 6.,Security
Une activité anormale suspectée sur le compte utilisateur 19.,Sécurité
The RAM in server 85 appears to be corrupted.,Hardware
La mémoire RAM dans le serveur 65 semble corrompue.,Matériel
A security flaw was detected in the system 99.,Security
Tentative d'intrusion sur le réseau détectée par le système de surveillance 68.,Sécurité
Critical update for the software 91 has not been applied.,Software
L'application 65 affiche un message d'erreur au lancement.,Logiciel
Le serveur 65 ne répond plus à cause d'une surcharge.,Réseau
The server 92 is no longer responding due to overload.,Network
Une faille de sécurité a été détectée dans le système 90.,Sécurité
Suspicious activity suspected on user account 98.,Security
La mémoire RAM dans le serveur 76 semble corrompue.,Matériel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 9.,Sécurité
Le système de gestion de base de données 30 est en panne depuis quelques heures.,Logiciel
The security certificate for the website 89 has expired.,Security
The database management system 28 has been down for a few hours.,Software
Critical update for the software 69 has not been applied.,Software
Bandwidth is saturated on the link 62 since this morning.,Network
La bande passante est saturée sur le lien 29 depuis ce matin.,Réseau
The cooling system of 6 is defective.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 40.,Sécurité
Critical update for the software 16 has not been applied.,Software
Bandwidth is saturated on the link 6 since this morning.,Network
L'application 73 affiche un message d'erreur au lancement.,Logiciel
L'application 5 affiche un message d'erreur au lancement.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 25.,Sécurité
Suspicious activity suspected on user account 28.,Security
Le switch réseau 19 a redémarré plusieurs fois de manière inattendue.,Réseau
Le système de gestion de base de données 42 est en panne depuis quelques heures.,Logiciel
La connexion VPN avec le site 30 est interrompue fréquemment.,Réseau
The server 48 is no longer responding due to overload.,Network
Le processus d'indexation a échoué dans l'application 61.,Logiciel
The network switch 7 has restarted several times unexpectedly.,Network
L'application 55 affiche un message d'erreur au lancement.,Logiciel
Mise à jour critique pour le logiciel 18 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 97.,Sécurité
La connexion VPN avec le site 82 est interrompue fréquemment.,Réseau
Le serveur 44 ne répond plus à cause d'une surcharge.,Réseau
The database management system 91 has been down for a few hours.,Software
Le système de gestion de base de données 43 est en panne depuis quelques heures.,Logiciel
L'application 56 affiche un message d'erreur au lancement.,Logiciel
The graphics card in workstation 98 overheats during use.,Hardware
A security flaw was detected in the system 3.,Security
The indexing process failed in the application 59.,Software
La bande passante est saturée sur le lien 2 depuis ce matin.,Réseau
The server 52 is no longer responding due to overload.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 62.,Sécurité
La mémoire RAM dans le serveur 78 semble corrompue.,Matériel
La mémoire RAM dans le serveur 96 semble corrompue.,Matériel
Le serveur 79 présente des erreurs de disque dur.,Matériel
Le système de gestion de base de données 12 est en panne depuis quelques heures.,Logiciel
VPN connection with site 39 is frequently interrupted.,Network
La mémoire RAM dans le serveur 85 semble corrompue.,Matériel
Critical update for the software 40 has not been applied.,Software
The indexing process failed in the application 68.,Software
The database management system 84 has been down for a few hours.,Software
Le processus d'indexation a échoué dans l'application 89.,Logiciel
Critical update for the software 78 has not been applied.,Software
The security certificate for the website 65 has expired.,Security
The server 59 is no longer responding due to overload.,Network
La bande passante est saturée sur le lien 52 depuis ce matin.,Réseau
La carte graphique du poste 13 surchauffe lors de l'utilisation.,Matériel
Bandwidth is saturated on the link 35 since this morning.,Network
L'application 77 affiche un message d'erreur au lancement.,Logiciel
A security flaw was detected in the system 92.,Security
Le serveur 42 ne répond plus à cause d'une surcharge.,Réseau
The RAM in server 76 appears to be corrupted.,Hardware
The server 25 is showing hard drive errors.,Hardware
Le système de gestion de base de données 99 est en panne depuis quelques heures.,Logiciel
Attempted network intrusion detected by surveillance system 87.,Security
Une activité anormale suspectée sur le compte utilisateur 2.,Sécurité
The indexing process failed in the application 42.,Software
Une activité anormale suspectée sur le compte utilisateur 58.,Sécurité
The database management system 23 has been down for a few hours.,Software
The RAM in server 63 appears to be corrupted.,Hardware
Une faille de sécurité a été détectée dans le système 21.,Sécurité
Une faille de sécurité a été détectée dans le système 3.,Sécurité
The application 8 displays an error message at launch.,Software
La mémoire RAM dans le serveur 34 semble corrompue.,Matériel
Critical update for the software 80 has not been applied.,Software
The server 68 is no longer responding due to overload.,Network
Attempted network intrusion detected by surveillance system 28.,Security
Le serveur 46 ne répond plus à cause d'une surcharge.,Réseau
Attempted network intrusion detected by surveillance system 19.,Security
Le certificat de sécurité du site web 2 est expiré.,Sécurité
Une faille de sécurité a été détectée dans le système 80.,Sécurité
Critical update for the software 58 has not been applied.,Software
Le serveur 26 ne répond plus à cause d'une surcharge.,Réseau
La carte graphique du poste 99 surchauffe lors de l'utilisation.,Matériel
Attempted network intrusion detected by surveillance system 93.,Security
The graphics card in workstation 73 overheats during use.,Hardware
The server 96 is no longer responding due to overload.,Network
Le système de refroidissement de 68 est défectueux.,Matériel
The application 86 displays an error message at launch.,Software
Tentative d'intrusion sur le réseau détectée par le système de surveillance 43.,Sécurité
Le certificat de sécurité du site web 76 est expiré.,Sécurité
A security flaw was detected in the system 23.,Security
Le système de refroidissement de 51 est défectueux.,Matériel
The RAM in server 52 appears to be corrupted.,Hardware
Le serveur 49 ne répond plus à cause d'une surcharge.,Réseau
The server 93 is no longer responding due to overload.,Network
Le système de refroidissement de 64 est défectueux.,Matériel
Suspicious activity suspected on user account 57.,Security
Mise à jour critique pour le logiciel 99 non appliquée.,Logiciel
Bandwidth is saturated on the link 89 since this morning.,Network
The security certificate for the website 26 has expired.,Security
The cooling system of 96 is defective.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 73.,Sécurité
The database management system 73 has been down for a few hours.,Software
The cooling system of 97 is defective.,Hardware
Le serveur 36 présente des erreurs de disque dur.,Matériel
Bandwidth is saturated on the link 73 since this morning.,Network
L'application 18 affiche un message d'erreur au lancement.,Logiciel
Le serveur 4 présente des erreurs de disque dur.,Matériel
VPN connection with site 98 is frequently interrupted.,Network
Attempted network intrusion detected by surveillance system 9.,Security
VPN connection with site 61 is frequently interrupted.,Network
Le processus d'indexation a échoué dans l'application 19.,Logiciel
The server 96 is showing hard drive errors.,Hardware
The graphics card in workstation 11 overheats during use.,Hardware
The cooling system of 97 is defective.,Hardware
La connexion VPN avec le site 36 est interrompue fréquemment.,Réseau
The cooling system of 69 is defective.,Hardware
La mémoire RAM dans le serveur 10 semble corrompue.,Matériel
The cooling system of 93 is defective.,Hardware
The server 17 is showing hard drive errors.,Hardware
Le système de gestion de base de données 27 est en panne depuis quelques heures.,Logiciel
Attempted network intrusion detected by surveillance system 84.,Security
Le processus d'indexation a échoué dans l'application 70.,Logiciel
Le processus d'indexation a échoué dans l'application 96.,Logiciel
The database management system 28 has been down for a few hours.,Software
The network switch 85 has restarted several times unexpectedly.,Network
Une activité anormale suspectée sur le compte utilisateur 17.,Sécurité
Le switch réseau 56 a redémarré plusieurs fois de manière inattendue.,Réseau
La connexion VPN avec le site 98 est interrompue fréquemment.,Réseau
Tentative d'intrusion sur le réseau détectée par le système de surveillance 45.,Sécurité
Le switch réseau 28 a redémarré plusieurs fois de manière inattendue.,Réseau
The database management system 27 has been down for a few hours.,Software
Le certificat de sécurité du site web 83 est expiré.,Sécurité
Le switch réseau 15 a redémarré plusieurs fois de manière inattendue.,Réseau
La connexion VPN avec le site 9 est interrompue fréquemment.,Réseau
The network switch 90 has restarted several times unexpectedly.,Network
Le serveur 4 présente des erreurs de disque dur.,Matériel
Le processus d'indexation a échoué dans l'application 39.,Logiciel
The security certificate for the website 31 has expired.,Security
Le système de refroidissement de 25 est défectueux.,Matériel
VPN connection with site 94 is frequently interrupted.,Network
The RAM in server 79 appears to be corrupted.,Hardware
Tentative d'intrusion sur le réseau détectée par le système de surveillance 19.,Sécurité
The cooling system of 16 is defective.,Hardware
The application 50 displays an error message at launch.,Software
The database management system 77 has been down for a few hours.,Software
Le switch réseau 7 a redémarré plusieurs fois de manière inattendue.,Réseau
L'application 50 affiche un message d'erreur au lancement.,Logiciel
A security flaw was detected in the system 46.,Security
La connexion VPN avec le site 13 est interrompue fréquemment.,Réseau
Le système de gestion de base de données 60 est en panne depuis quelques heures.,Logiciel
The database management system 79 has been down for a few hours.,Software
Le switch réseau 49 a redémarré plusieurs fois de manière inattendue.,Réseau
The indexing process failed in the application 13.,Software
The database management system 34 has been down for a few hours.,Software
The security certificate for the website 21 has expired.,Security
Tentative d'intrusion sur le réseau détectée par le système de surveillance 61.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 49.,Sécurité
La carte graphique du poste 35 surchauffe lors de l'utilisation.,Matériel
La connexion VPN avec le site 34 est interrompue fréquemment.,Réseau
Une faille de sécurité a été détectée dans le système 48.,Sécurité
The RAM in server 76 appears to be corrupted.,Hardware
The security certificate for the website 16 has expired.,Security
Le serveur 23 ne répond plus à cause d'une surcharge.,Réseau
La bande passante est saturée sur le lien 51 depuis ce matin.,Réseau
Le système de gestion de base de données 74 est en panne depuis quelques heures.,Logiciel
The database management system 20 has been down for a few hours.,Software
The indexing process failed in the application 23.,Software
Le certificat de sécurité du site web 63 est expiré.,Sécurité
Tentative d'intrusion sur le réseau détectée par le système de surveillance 97.,Sécurité
Le switch réseau 58 a redémarré plusieurs fois de manière inattendue.,Réseau
Le système de refroidissement de 21 est défectueux.,Matériel
The server 89 is no longer responding due to overload.,Network
The server 37 is showing hard drive errors.,Hardware
The server 2 is showing hard drive errors.,Hardware
The server 27 is no longer responding due to overload.,Network
Une activité anormale suspectée sur le compte utilisateur 10.,Sécurité
Le certificat de sécurité du site web 51 est expiré.,Sécurité
Attempted network intrusion detected by surveillance system 4.,Security
The server 61 is no longer responding due to overload.,Network
Suspicious activity suspected on user account 49.,Security
Une activité anormale suspectée sur le compte utilisateur 18.,Sécurité
Tentative d'intrusion sur le réseau détectée par le système de surveillance 36.,Sécurité
La mémoire RAM dans le serveur 33 semble corrompue.,Matériel
Le processus d'indexation a échoué dans l'application 80.,Logiciel
The server 39 is no longer responding due to overload.,Network
Une activité anormale suspectée sur le compte utilisateur 67.,Sécurité
Le switch réseau 15 a redémarré plusieurs fois de manière inattendue.,Réseau
The application 26 displays an error message at launch.,Software
Bandwidth is saturated on the link 5 since this morning.,Network
Le serveur 98 ne répond plus à cause d'une surcharge.,Réseau
Le système de refroidissement de 89 est défectueux.,Matériel
The cooling system of 84 is defective.,Hardware
Attempted network intrusion detected by surveillance system 93.,Security
The cooling system of 48 is defective.,Hardware
Le serveur 14 ne répond plus à cause d'une surcharge.,Réseau
La bande passante est saturée sur le lien 81 depuis ce matin.,Réseau
Tentative d'intrusion sur le réseau détectée par le système de surveillance 100.,Sécurité
The server 4 is no longer responding due to overload.,Network
Le système de gestion de base de données 59 est en panne depuis quelques heures.,Logiciel
Le système de refroidissement de 85 est défectueux.,Matériel
The application 92 displays an error message at launch.,Software
La bande passante est saturée sur le lien 8 depuis ce matin.,Réseau
The indexing process failed in the application 87.,Software
The graphics card in workstation 34 overheats during use.,Hardware
The RAM in server 31 appears to be corrupted.,Hardware
La bande passante est saturée sur le lien 53 depuis ce matin.,Réseau
Le système de gestion de base de données 87 est en panne depuis quelques heures.,Logiciel
Attempted network intrusion detected by surveillance system 74.,Security
The security certificate for the website 11 has expired.,Security
The server 28 is showing hard drive errors.,Hardware
Le serveur 69 ne répond plus à cause d'une surcharge.,Réseau
La carte graphique du poste 92 surchauffe lors de l'utilisation.,Matériel
VPN connection with site 53 is frequently interrupted.,Network
La connexion VPN avec le site 54 est interrompue fréquemment.,Réseau
The server 67 is no longer responding due to overload.,Network
The graphics card in workstation 80 overheats during use.,Hardware
Le système de gestion de base de données 91 est en panne depuis quelques heures.,Logiciel
Le certificat de sécurité du site web 91 est expiré.,Sécurité
The indexing process failed in the application 81.,Software
A security flaw was detected in the system 67.,Security
The RAM in server 23 appears to be corrupted.,Hardware
The RAM in server 93 appears to be corrupted.,Hardware
La mémoire RAM dans le serveur 23 semble corrompue.,Matériel
Le certificat de sécurité du site web 73 est expiré.,Sécurité
The database management system 78 has been down for a few hours.,Software
Le switch réseau 97 a redémarré plusieurs fois de manière inattendue.,Réseau
Le processus d'indexation a échoué dans l'application 13.,Logiciel
The indexing process failed in the application 67.,Software
A security flaw was detected in the system 86.,Security
The cooling system of 55 is defective.,Hardware
Le certificat de sécurité du site web 100 est expiré.,Sécurité
Le serveur 53 présente des erreurs de disque dur.,Matériel
The server 25 is showing hard drive errors.,Hardware
A security flaw was detected in the system 63.,Security
The database management system 9 has been down for a few hours.,Software
Une faille de sécurité a été détectée dans le système 18.,Sécurité
The graphics card in workstation 78 overheats during use.,Hardware
The server 72 is no longer responding due to overload.,Network
Critical update for the software 82 has not been applied.,Software
The security certificate for the website 74 has expired.,Security
The database management system 25 has been down for a few hours.,Software
Bandwidth is saturated on the link 3 since this morning.,Network
The RAM in server 39 appears to be corrupted.,Hardware
Mise à jour critique pour le logiciel 6 non appliquée.,Logiciel
Critical update for the software 93 has not been applied.,Software
Attempted network intrusion detected by surveillance system 97.,Security
La bande passante est saturée sur le lien 91 depuis ce matin.,Réseau
VPN connection with site 22 is frequently interrupted.,Network
The server 98 is showing hard drive errors.,Hardware
Le serveur 50 présente des erreurs de disque dur.,Matériel
Suspicious activity suspected on user account 62.,Security
The server 98 is no longer responding due to overload.,Network
Le système de refroidissement de 57 est défectueux.,Matériel
A security flaw was detected in the system 65.,Security
The database management system 31 has been down for a few hours.,Software
Attempted network intrusion detected by surveillance system 48.,Security
Critical update for the software 62 has not been applied.,Software
The graphics card in workstation 39 overheats during use.,Hardware
The server 78 is no longer responding due to overload.,Network
Le processus d'indexation a échoué dans l'application 31.,Logiciel
Attempted network intrusion detected by surveillance system 30.,Security
Tentative d'intrusion sur le réseau détectée par le système de surveillance 20.,Sécurité
La carte graphique du poste 19 surchauffe lors de l'utilisation.,Matériel
The application 35 displays an error message at launch.,Software
A security flaw was detected in the system 51.,Security
The server 7 is showing hard drive errors.,Hardware
La mémoire RAM dans le serveur 91 semble corrompue.,Matériel
Le serveur 28 présente des erreurs de disque dur.,Matériel
Le certificat de sécurité du site web 28 est expiré.,Sécurité
The RAM in server 18 appears to be corrupted.,Hardware
VPN connection with site 26 is frequently interrupted.,Network
Le switch réseau 60 a redémarré plusieurs fois de manière inattendue.,Réseau
La mémoire RAM dans le serveur 69 semble corrompue.,Matériel
Une activité anormale suspectée sur le compte utilisateur 27.,Sécurité
Le serveur 98 présente des erreurs de disque dur.,Matériel
La bande passante est saturée sur le lien 59 depuis ce matin.,Réseau
The cooling system of 16 is defective.,Hardware
The graphics card in workstation 50 overheats during use.,Hardware
The graphics card in workstation 50 overheats during use.,Hardware
L'application 27 affiche un message d'erreur au lancement.,Logiciel
A security flaw was detected in the system 59.,Security
Le serveur 92 ne répond plus à cause d'une surcharge.,Réseau
La connexion VPN avec le site 12 est interrompue fréquemment.,Réseau
La mémoire RAM dans le serveur 74 semble corrompue.,Matériel
The RAM in server 100 appears to be corrupted.,Hardware
The network switch 19 has restarted several times unexpectedly.,Network
Suspicious activity suspected on user account 82.,Security
VPN connection with site 6 is frequently interrupted.,Network
Tentative d'intrusion sur le réseau détectée par le système de surveillance 36.,Sécurité
Une activité anormale suspectée sur le compte utilisateur 72.,Sécurité
The security certificate for the website 36 has expired.,Security
The cooling system of 47 is defective.,Hardware
Le certificat de sécurité du site web 53 est expiré.,Sécurité
L'application 97 affiche un message d'erreur au lancement.,Logiciel
Attempted network intrusion detected by surveillance system 48.,Security
The security certificate for the website 75 has expired.,Security
L'application 31 affiche un message d'erreur au lancement.,Logiciel
Mise à jour critique pour le logiciel 63 non appliquée.,Logiciel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 7.,Sécurité
Attempted network intrusion detected by surveillance system 48.,Security
La bande passante est saturée sur le lien 52 depuis ce matin.,Réseau
Le système de gestion de base de données 2 est en panne depuis quelques heures.,Logiciel
Le switch réseau 52 a redémarré plusieurs fois de manière inattendue.,Réseau
The security certificate for the website 7 has expired.,Security
The network switch 81 has restarted several times unexpectedly.,Network
La carte graphique du poste 85 surchauffe lors de l'utilisation.,Matériel
Le système de gestion de base de données 14 est en panne depuis quelques heures.,Logiciel
Une faille de sécurité a été détectée dans le système 94.,Sécurité
Le système de refroidissement de 48 est défectueux.,Matériel
Suspicious activity suspected on user account 98.,Security
The RAM in server 16 appears to be corrupted.,Hardware
La carte graphique du poste 22 surchauffe lors de l'utilisation.,Matériel
Suspicious activity suspected on user account 33.,Security
Mise à jour critique pour le logiciel 50 non appliquée.,Logiciel
La mémoire RAM dans le serveur 36 semble corrompue.,Matériel
Mise à jour critique pour le logiciel 19 non appliquée.,Logiciel
